api,hsm_capacity,num_signatures,kmip_batch_count,time,threaded
rest,1000,1000,,4.086326061020372,True
kmip,5000,1000,10,1.6258394210017286,True
kmip,20000,1000,10,1.5690173219772987,True
grpc,20000,1000,,0.5613791549985763,True
kmip,20000,1000,100,1.4704533659969456,True
rest,10000,1000,,3.8332264900091104,True
grpc,100,1000,,10.53799117199378,True
rest,100,1000,,11.366473120986484,True
kmip,10000,1000,10,1.6028590470086783,True
kmip,10000,1000,100,1.4284682419965975,True
rest,1000,1000,,4.352562457002932,True
grpc,10000,1000,,0.5897893020010088,True
kmip,20000,1000,1,7.751641252019908,True
kmip,10000,1000,1,6.09240780302207,True
kmip,100,1000,1,13.290328254021006,True
kmip,1000,1000,100,2.5093749619845767,True
kmip,1000,1000,1,7.394937964010751,True
rest,20000,1000,,5.138114608009346,True
kmip,1000,1000,10,2.295864552987041,True
grpc,1000,1000,,1.5891485329775605,True
kmip,100,1000,10,10.482732978998683,True
kmip,100,1000,100,11.158289281011093,True
kmip,5000,1000,1,6.411595449986635,True
grpc,5000,1000,,0.7082327819953207,True
rest,5000,1000,,3.832254486012971,True
kmip,5000,1000,100,1.6124948160140775,True
grpc,5000,1000,,0.7551816860213876,True
rest,1000,1000,,3.804571943997871,True
kmip,5000,1000,1,6.478213530994253,True
rest,20000,1000,,4.43369010600145,True
rest,100,1000,,11.17348943601246,True
kmip,20000,1000,1,6.347602797002764,True
kmip,5000,1000,10,1.6894417879811954,True
kmip,100,1000,10,10.488604918995406,True
kmip,10000,1000,100,1.4713529710134026,True
kmip,20000,1000,100,1.4145185720117297,True
grpc,100,1000,,10.503825646010228,True
kmip,10000,1000,10,1.667037890991196,True
grpc,10000,1000,,0.5967524010047782,True
kmip,1000,1000,10,2.2320842879998963,True
kmip,20000,1000,10,1.6708688169892412,True
kmip,10000,1000,1,7.0982620930008125,True
rest,5000,1000,,4.388556007004809,True
grpc,20000,1000,,0.8215002500219271,True
rest,10000,1000,,3.8453179390053265,True
kmip,100,1000,100,10.871061392972479,True
kmip,1000,1000,1,7.581600322999293,True
kmip,1000,1000,100,2.1921692290052306,True
grpc,1000,1000,,1.5635544319811743,True
kmip,100,1000,1,12.991575186984846,True
kmip,5000,1000,100,2.1652303420123644,True
grpc,5000,1000,,0.7544259009882808,True
rest,20000,1000,,5.205794341978617,True
kmip,10000,1000,1,6.681061763025355,True
grpc,1000,1000,,1.5885291449958459,True
kmip,20000,1000,1,6.701883330009878,True
grpc,10000,1000,,0.621930622990476,True
rest,5000,1000,,4.0123444230121095,True
rest,100,1000,,11.135538757982431,True
kmip,1000,1000,1,6.646119016018929,True
kmip,5000,1000,100,1.7054019400093239,True
rest,10000,1000,,3.9047759840032086,True
kmip,20000,1000,10,1.4429480399994645,True
rest,1000,1000,,4.137544760975288,True
kmip,10000,1000,100,1.5679821879894007,True
kmip,1000,1000,100,2.2021975179959554,True
kmip,1000,1000,10,2.3851252959866542,True
kmip,20000,1000,100,1.5209969119750895,True
kmip,10000,1000,10,1.7081462670175824,True
grpc,100,1000,,10.559338349994505,True
kmip,100,1000,100,10.751754953991622,True
kmip,100,1000,1,13.142187046003528,True
kmip,100,1000,10,10.429378354019718,True
kmip,5000,1000,10,1.5468373600160703,True
grpc,20000,1000,,0.5362281069974415,True
kmip,5000,1000,1,5.464336386998184,True
kmip,1000,1000,100,2.336025159980636,True
kmip,5000,1000,1,6.103236926021054,True
grpc,20000,1000,,1.0095591699937358,True
kmip,1000,1000,10,2.4364833360014018,True
rest,5000,1000,,4.432418226002483,True
rest,10000,1000,,4.855741270002909,True
grpc,10000,1000,,0.6027992680028547,True
rest,20000,1000,,3.7820177520043217,True
kmip,10000,1000,100,1.4622249359963462,True
kmip,20000,1000,100,1.4342223790008575,True
kmip,20000,1000,1,5.234154653997393,True
kmip,100,1000,100,11.157660016004229,True
kmip,1000,1000,1,6.409378264012048,True
kmip,5000,1000,100,1.5570397280098405,True
kmip,10000,1000,10,1.4932478299888317,True
kmip,20000,1000,10,1.4225857970013749,True
rest,1000,1000,,3.736125240015099,True
kmip,10000,1000,1,5.683372686005896,True
grpc,5000,1000,,0.7832760970050003,True
grpc,1000,1000,,1.5388878140074667,True
grpc,100,1000,,10.514652395999292,True
rest,100,1000,,11.019721326010767,True
kmip,5000,1000,10,1.5488984429975972,True
kmip,100,1000,1,12.659255120990565,True
kmip,100,1000,10,10.443097194016445,True
grpc,10000,1000,,0.670244784996612,True
kmip,20000,1000,100,1.5257855209929403,True
kmip,10000,1000,10,1.4690406949957833,True
kmip,5000,1000,1,5.159031176008284,True
kmip,100,1000,1,12.738015816983534,True
kmip,20000,1000,10,1.4378252150199842,True
grpc,1000,1000,,2.1647965429874603,True
grpc,5000,1000,,0.7670480319939088,True
kmip,10000,1000,100,1.449809987010667,True
kmip,5000,1000,10,1.607312953012297,True
kmip,5000,1000,100,1.7527346740243956,True
rest,20000,1000,,4.604830271011451,True
rest,100,1000,,11.119426238990854,True
rest,1000,1000,,4.513576183991972,True
kmip,20000,1000,1,5.939275737007847,True
kmip,1000,1000,100,2.3726663950074,True
kmip,100,1000,100,10.910821827012114,True
grpc,20000,1000,,0.5053512720041908,True
grpc,100,1000,,10.479463623982156,True
kmip,1000,1000,1,6.270554054004606,True
kmip,1000,1000,10,2.238337930990383,True
kmip,10000,1000,1,5.893908289988758,True
rest,5000,1000,,3.985376510012429,True
kmip,100,1000,10,10.429095686995424,True
rest,10000,1000,,4.196808545006206,True
